706 4 0
370 402 367 410 
241 271 383 169 
583 159 560 474 
243 284 492 644 
244 646 181 335 
671 144 631 49 
100 408 568 684 
386 157 478 217 
248 120 704 406 
249 433 544 323 
499 220 65 91 
251 643 253 395 
252 250 417 235 
253 82 188 60 
254 88 645 482 
255 220 268 448 
256 517 7 186 
257 569 652 438 
501 659 444 326 
373 172 637 146 
260 582 383 139 
263 454 475 187 
262 703 531 498 
263 610 307 548 
567 629 475 100 
265 34 691 465 
173 124 353 501 
542 390 446 321 
268 200 129 124 
269 439 553 0 
393 129 602 193 
271 225 259 20 
272 61 44 205 
701 197 224 617 
274 218 529 6 
568 472 270 487 
665 375 355 345 
651 299 17 661 
640 107 171 595 
279 218 409 289 
606 348 190 692 
281 342 669 308 
282 491 663 506 
252 480 29 261 
284 619 92 339 
182 28 434 382 
305 179 381 367 
588 603 347 690 
338 327 271 399 
449 617 236 681 
290 551 80 89 
291 493 73 83 
189 207 114 352 
57 328 226 251 
294 135 566 257 
680 406 171 666 
296 349 321 195 
297 275 509 183 
298 593 686 23 
299 63 158 33 
525 362 480 148 
237 140 294 666 
302 592 265 253 
303 244 63 254 
165 441 115 612 
305 573 180 1 
306 605 702 197 
176 501 393 368 
308 630 238 219 
309 521 464 287 
310 201 457 232 
151 531 38 223 
312 478 210 102 
313 39 178 32 
314 278 447 15 
274 89 173 16 
33 89 126 76 
317 80 19 275 
318 383 178 455 
291 613 48 438 
320 480 200 524 
321 328 78 362 
209 705 318 675 
95 613 43 653 
438 687 205 45 
374 564 323 667 
656 626 478 113 
260 566 426 216 
94 34 167 492 
522 187 206 133 
330 641 436 79 
585 271 82 247 
682 529 548 18 
333 631 451 694 
334 464 634 277 
335 259 531 451 
168 573 475 550 
647 489 250 524 
338 111 138 69 
339 71 175 616 
519 540 128 536 
410 429 675 298 
702 288 394 190 
598 369 612 53 
81 614 202 521 
345 369 135 158 
359 493 357 582 
609 172 351 381 
348 248 214 684 
265 284 227 625 
163 607 104 494 
153 128 487 284 
352 263 470 177 
66 637 311 29 
693 470 287 18 
67 14 387 130 
356 549 278 574 
461 142 398 525 
358 620 186 549 
359 199 159 24 
330 105 493 107 
297 444 312 680 
362 408 598 532 
363 3 627 85 
290 592 601 610 
571 250 353 331 
564 693 25 658 
483 165 249 291 
672 213 234 579 
369 45 316 223 
370 685 473 261 
371 180 211 603 
372 85 390 188 
373 447 705 638 
374 214 582 437 
375 108 85 70 
658 499 147 237 
377 79 70 408 
197 524 299 484 
379 573 338 600 
380 603 618 333 
381 459 139 236 
84 417 475 493 
383 382 388 359 
384 635 527 47 
433 502 532 694 
386 21 452 694 
387 544 58 690 
388 95 452 604 
234 420 491 18 
335 230 77 254 
391 663 397 175 
145 664 229 320 
393 665 674 365 
535 598 586 648 
395 32 202 422 
632 413 137 10 
397 549 328 199 
470 373 125 252 
133 302 470 378 
397 400 692 161 
401 75 596 525 
55 535 325 512 
474 474 37 46 
75 190 160 294 
405 385 336 37 
303 687 275 585 
482 582 593 604 
239 34 206 612 
409 510 542 157 
410 167 486 338 
547 484 512 112 
412 614 638 148 
413 541 158 401 
414 231 260 139 
415 146 21 263 
413 355 480 203 
417 453 580 317 
454 528 511 652 
419 690 378 232 
232 131 326 11 
421 705 135 442 
405 8 350 533 
423 388 380 234 
689 353 591 168 
74 144 110 39 
147 360 410 37 
19 704 296 263 
169 79 250 672 
310 293 99 544 
13 629 447 534 
502 308 516 100 
193 228 158 139 
433 703 104 333 
434 265 440 73 
298 603 502 191 
233 657 555 599 
437 496 644 124 
438 14 165 620 
579 68 234 352 
440 458 538 222 
352 652 392 456 
158 202 510 618 
227 316 459 125 
444 603 48 347 
445 259 245 307 
302 92 132 595 
18 72 334 585 
415 591 199 185 
449 440 176 214 
450 598 47 3 
451 30 441 458 
624 379 197 549 
194 430 253 594 
454 683 239 109 
455 55 1 84 
456 623 694 620 
419 678 407 186 
458 553 578 89 
40 255 357 452 
460 417 128 262 
461 207 458 315 
101 467 267 357 
463 616 623 532 
464 498 655 564 
384 381 220 592 
120 428 679 270 
467 534 301 307 
468 366 207 266 
469 294 98 304 
470 302 438 689 
471 198 459 125 
472 180 400 98 
463 608 471 237 
474 28 575 505 
475 556 701 621 
476 35 109 59 
371 503 534 237 
478 314 247 702 
479 339 595 402 
480 99 123 471 
486 208 567 196 
482 643 5 149 
483 545 519 220 
484 153 303 189 
485 375 346 271 
486 66 198 543 
391 651 300 415 
243 193 331 295 
489 276 544 88 
308 413 659 96 
116 631 1 511 
492 107 363 142 
281 443 477 356 
506 408 189 492 
458 392 328 461 
496 447 192 601 
262 266 120 123 
99 676 158 504 
499 173 454 550 
500 120 14 610 
501 42 0 68 
502 6 53 435 
503 316 610 334 
504 393 126 550 
434 148 450 127 
506 463 218 134 
492 61 495 0 
58 38 76 49 
472 179 32 408 
321 67 330 223 
188 656 364 677 
512 284 601 123 
513 261 17 62 
514 685 141 366 
515 619 7 457 
516 601 693 559 
299 467 99 114 
518 401 275 172 
519 470 401 194 
520 333 27 172 
557 254 583 398 
522 58 621 565 
587 542 636 321 
369 611 605 10 
525 156 383 309 
526 177 383 72 
241 138 672 384 
528 204 699 562 
248 286 496 517 
216 131 572 158 
207 310 332 27 
77 571 693 176 
528 385 404 398 
534 117 136 300 
535 540 422 530 
10 703 97 249 
206 411 5 111 
516 233 692 244 
539 403 619 624 
540 519 429 19 
25 537 314 213 
542 116 669 186 
543 519 325 8 
544 211 256 417 
545 467 221 56 
150 187 439 96 
547 496 354 249 
548 442 373 513 
549 243 705 154 
512 23 705 291 
54 690 261 99 
552 247 681 268 
50 22 563 244 
554 252 84 470 
11 543 475 147 
222 234 549 450 
557 384 210 578 
339 364 465 114 
576 175 336 331 
663 457 457 350 
333 701 426 255 
562 429 392 113 
253 548 70 135 
564 67 685 613 
623 331 326 626 
620 352 62 351 
567 157 529 248 
568 12 42 274 
515 614 678 421 
570 433 669 481 
571 195 309 660 
572 660 295 75 
451 101 218 454 
125 588 600 667 
575 17 656 394 
576 25 309 382 
387 439 470 214 
578 430 339 15 
579 317 381 634 
580 400 138 203 
581 647 493 65 
469 445 703 448 
583 551 355 373 
584 190 36 152 
585 678 580 331 
514 413 113 319 
587 360 270 68 
588 268 148 274 
634 266 465 120 
423 595 625 306 
271 404 555 10 
592 677 50 354 
594 167 112 255 
594 492 8 529 
249 602 703 287 
625 560 95 53 
186 321 322 569 
598 222 302 705 
159 605 98 268 
653 589 31 199 
485 52 539 150 
602 369 704 45 
603 250 95 430 
450 548 118 350 
605 25 491 85 
606 97 50 473 
638 497 242 691 
381 355 192 157 
609 10 302 532 
610 180 650 494 
3 482 518 677 
282 663 656 123 
518 357 571 209 
543 353 425 442 
478 115 3 527 
146 92 342 182 
254 383 676 549 
618 307 670 593 
619 681 5 160 
620 55 667 199 
621 692 691 352 
678 574 664 616 
623 103 660 199 
624 487 295 517 
625 292 506 265 
456 449 559 347 
675 261 607 218 
628 259 624 441 
199 501 278 411 
251 8 129 480 
379 425 567 238 
632 497 522 260 
414 414 447 262 
634 140 198 148 
255 388 560 478 
513 534 159 461 
637 177 570 454 
638 109 617 62 
195 614 415 663 
640 448 536 587 
679 498 121 578 
41 277 71 607 
78 147 334 259 
306 243 23 667 
53 148 421 252 
552 355 327 453 
647 532 191 626 
648 75 420 415 
649 293 136 1 
440 338 230 62 
651 322 203 19 
124 181 539 507 
653 378 180 121 
654 187 569 186 
175 395 412 88 
656 699 89 506 
269 151 477 533 
658 539 289 530 
659 599 427 445 
660 435 204 104 
93 472 542 581 
92 224 523 618 
663 361 305 485 
673 175 299 238 
665 494 478 326 
26 274 254 115 
667 107 642 688 
73 396 105 211 
86 416 704 559 
581 649 36 573 
671 482 94 144 
672 119 534 608 
673 131 270 651 
674 634 334 53 
675 571 273 335 
383 158 668 509 
244 152 585 183 
678 580 444 89 
679 499 645 547 
680 697 153 242 
314 301 536 559 
682 565 247 634 
38 46 505 202 
684 574 254 48 
231 22 106 463 
686 421 622 457 
294 69 64 89 
155 65 455 611 
689 552 287 279 
256 313 341 399 
356 260 690 627 
545 453 319 41 
693 53 574 291 
28 416 586 91 
126 640 595 557 
409 137 208 9 
697 629 73 228 
345 544 97 577 
479 336 366 354 
603 119 674 139 
701 148 92 374 
702 621 597 386 
76 383 545 293 
704 541 682 616 
36 461 683 42 
386 516 7 8 391 138 141 270 525 16 17 145 403 277 536 409 410 665 666 161 290 417 545 165 38 293 421 425 676 43 433 178 51 53 56 568 58 697 188 319 320 321 703 67 196 579 199 72 583 459 204 460 463 82 211 470 92 349 100 484 485 631 105 106 492 241 114 370 245 373 247 125 
